Rk,School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,For.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
155,Louisville,32,8,24,.250,0.45,7.51,3,17,7,11,1,10,2304,2530,1285,799,1833,.436,175,571,.306,531,712,.746,318,1100,356,174,83,410,544
156,Loyola (IL),33,23,10,.697,6.57,2.42,15,3,15,2,7,5,2412,2228,1330,855,1900,.450,274,775,.354,428,629,.680,317,1213,547,233,166,423,643
157,Loyola (MD),32,7,25,.219,-16.17,-6.94,5,13,2,11,5,13,2049,2301,1295,737,1767,.417,230,685,.336,345,536,.644,328,1097,410,189,69,436,518
158,Loyola Marymount,31,12,19,.387,-0.06,0.31,5,11,8,8,3,7,2244,2214,1240,802,1791,.448,261,710,.368,379,519,.730,307,1082,369,114,81,333,504
159,Maine,32,15,17,.469,-6.39,-4.87,7,9,8,4,5,13,2164,2159,1290,801,1831,.437,173,587,.295,389,541,.719,255,1044,397,269,105,365,522
160,Manhattan,30,7,23,.233,-15.28,-4.86,4,16,3,10,4,12,1985,2275,1215,740,1792,.413,219,695,.315,286,396,.722,275,989,432,226,88,402,417
161,Marist,31,18,13,.581,-5.64,-8.09,12,8,9,4,8,8,2004,1928,1240,726,1638,.443,212,596,.356,340,488,.697,222,996,381,212,87,378,503
162,Marquette,37,27,10,.730,19.27,11.02,14,6,14,2,7,5,2888,2583,1485,1078,2256,.478,327,928,.352,405,576,.703,322,1212,587,317,131,369,556
163,Marshall,33,13,20,.394,-5.42,-1.39,7,11,8,7,3,9,2435,2531,1320,864,2117,.408,270,870,.310,437,615,.711,406,1303,492,230,144,393,530
164,Maryland,33,16,17,.485,10.60,7.44,7,13,11,6,4,8,2278,2174,1335,766,1854,.413,201,696,.289,545,757,.720,380,1179,360,217,149,387,576
165,Maryland-Baltimore County,32,11,21,.344,-8.67,-5.93,6,10,6,9,5,12,2517,2583,1285,955,2049,.466,255,714,.357,352,504,.698,304,1179,417,163,126,418,505
166,Maryland-Eastern Shore,29,9,20,.310,-17.33,-6.33,4,10,9,4,0,15,1890,2046,1175,668,1664,.401,168,570,.295,386,540,.715,315,1014,312,203,81,399,508
167,Massachusetts,31,20,11,.645,7.59,0.88,11,7,13,3,4,6,2401,2193,1245,858,1904,.451,209,668,.313,476,681,.699,416,1188,483,236,93,345,579
168,Massachusetts-Lowell,32,22,10,.688,-1.28,-6.07,11,5,12,3,10,7,2561,2261,1290,913,1924,.475,186,566,.329,549,746,.736,367,1305,406,222,157,425,480
169,McNeese State,34,30,4,.882,6.42,-6.81,17,1,18,0,11,3,2719,2116,1360,973,1997,.487,257,671,.383,516,745,.693,382,1226,506,350,115,329,588
170,Memphis,32,22,10,.688,9.00,4.25,11,7,13,2,7,6,2576,2424,1290,897,1952,.460,266,759,.350,514,709,.725,383,1185,438,274,145,419,551
171,Mercer,33,16,17,.485,-4.65,-2.55,8,10,10,6,4,9,2348,2371,1320,880,1961,.449,210,608,.345,378,565,.669,368,1132,434,229,113,367,631
172,Merrimack,33,21,12,.636,-5.24,-8.43,13,3,13,2,7,9,2283,2159,1330,795,1814,.438,241,779,.309,452,620,.729,260,1034,409,325,121,436,532
173,Miami (FL),32,15,17,.469,9.59,7.46,6,14,11,6,2,9,2424,2356,1285,889,1960,.454,286,792,.361,360,483,.745,324,1174,454,229,100,386,419
174,Miami (OH),32,15,17,.469,-6.45,-4.08,9,9,9,6,6,10,2259,2241,1285,798,1802,.443,259,717,.361,404,572,.706,257,1063,462,202,99,375,552
175,Michigan,32,8,24,.250,5.28,11.34,3,17,5,10,2,10,2334,2528,1295,829,1869,.444,255,710,.359,421,599,.703,340,1134,400,133,114,414,549
176,Michigan State,35,20,15,.571,17.72,10.89,10,10,14,4,3,7,2551,2312,1405,949,2058,.461,227,626,.363,426,602,.708,353,1215,558,248,132,350,581
177,Middle Tennessee,33,14,19,.424,-7.45,-0.52,7,9,11,6,1,10,2167,2319,1345,741,1843,.402,241,774,.311,444,631,.704,344,1147,329,175,138,462,516
178,Milwaukee,35,20,15,.571,-5.01,-4.47,12,8,12,4,6,9,2782,2753,1425,980,2198,.446,277,861,.322,545,750,.727,473,1364,498,208,155,439,635
179,Minnesota,34,19,15,.559,9.51,6.40,9,11,16,4,3,9,2550,2444,1365,910,1930,.472,268,754,.355,462,670,.690,343,1187,588,214,150,408,547
180,Mississippi,32,20,12,.625,8.30,7.27,7,11,14,4,4,7,2398,2365,1280,839,1876,.447,241,660,.365,479,658,.728,333,1071,484,251,184,344,522
181,Mississippi State,35,21,14,.600,14.19,9.16,8,10,11,4,2,8,2593,2417,1405,917,2027,.452,251,781,.321,508,758,.670,436,1333,491,284,107,455,580
182,Mississippi Valley State,31,1,30,.032,-26.17,-3.91,1,17,1,8,0,22,1719,2409,1245,613,1611,.381,143,489,.292,350,532,.658,298,911,271,205,71,495,550
183,Missouri,32,8,24,.250,3.27,7.30,0,18,6,11,2,10,2309,2438,1285,807,1838,.439,233,730,.319,462,583,.792,293,992,390,245,154,370,642
184,Missouri State,33,17,16,.515,0.98,1.01,8,12,9,5,4,10,2351,2352,1340,848,1931,.439,223,711,.314,432,608,.711,335,1291,399,142,149,397,504
185,Monmouth,33,18,15,.545,-3.17,-2.98,10,8,13,1,2,13,2390,2396,1321,860,1998,.430,252,726,.347,418,585,.715,370,1167,432,236,114,345,559
186,Montana,36,24,12,.667,-1.41,-4.11,12,6,13,3,8,7,2768,2586,1450,1007,2075,.485,277,774,.358,477,602,.792,299,1227,537,172,107,371,600
187,Montana State,35,17,18,.486,-5.34,-4.46,9,9,10,7,4,10,2635,2606,1420,941,2012,.468,319,863,.370,434,596,.728,237,1068,463,289,84,408,647
188,Morehead State,35,26,9,.743,0.51,-5.52,14,4,14,1,9,7,2635,2220,1400,944,2021,.467,329,912,.361,418,592,.706,407,1372,526,206,160,413,553
189,Morgan State,31,11,20,.355,-16.07,-5.90,7,7,8,5,3,12,2253,2402,1250,840,1862,.451,148,505,.293,425,561,.758,338,1099,388,192,111,451,594
190,Mount St. Mary's,32,13,19,.406,-6.54,-7.45,9,11,8,5,5,13,2327,2298,1295,876,1852,.473,217,615,.353,358,494,.725,312,1125,423,221,125,465,496
191,Murray State,32,12,20,.375,0.36,1.59,9,11,8,8,4,9,2232,2237,1285,821,1841,.446,209,651,.321,381,547,.697,299,1048,369,192,88,304,490
192,Navy,31,13,18,.419,-11.70,-9.54,8,10,10,5,3,13,2060,2067,1250,716,1809,.396,181,603,.300,447,631,.708,386,1104,376,207,63,317,559
193,NC State,41,26,15,.634,12.81,8.93,9,11,12,5,4,7,3101,2942,1660,1117,2483,.450,285,827,.345,582,794,.733,415,1447,536,297,148,392,664
194,Nebraska,34,23,11,.676,14.36,7.53,12,8,18,1,3,8,2643,2411,1375,912,2017,.452,319,893,.357,500,658,.760,326,1280,521,214,89,377,539
195,Nevada,34,26,8,.765,12.85,4.58,13,5,15,2,8,3,2582,2276,1365,881,1860,.474,227,625,.363,593,824,.720,302,1167,511,214,121,342,599
196,Nevada-Las Vegas,34,21,13,.618,8.38,6.25,12,6,13,6,8,4,2501,2341,1380,906,1959,.462,231,685,.337,458,633,.724,350,1164,450,208,154,376,540
197,New Hampshire,31,16,15,.516,-6.15,-3.61,7,9,9,5,7,10,2298,2297,1245,801,1934,.414,275,848,.324,421,565,.745,285,1160,365,226,64,372,472
198,New Mexico,36,26,10,.722,15.04,5.38,10,8,13,3,5,6,2916,2545,1440,1067,2343,.455,233,711,.328,549,776,.707,462,1429,524,312,178,361,632
199,New Mexico State,32,13,19,.406,-8.62,0.74,7,9,12,3,1,13,2166,2318,1295,771,1822,.423,206,626,.329,418,617,.677,286,1079,359,195,98,382,636
200,New Orleans,33,10,23,.303,-16.80,-5.90,4,14,7,6,2,15,2427,2622,1326,846,2023,.418,179,589,.304,556,772,.720,377,1139,391,254,118,407,629
201,Niagara,32,16,16,.500,-8.40,-7.21,11,9,5,9,10,6,2319,2307,1295,822,1749,.470,199,550,.362,476,633,.752,235,975,409,180,70,378,480
202,Nicholls State,34,20,14,.588,-7.14,-5.37,13,5,10,2,8,10,2512,2514,1405,849,1909,.445,284,778,.365,530,731,.725,325,1199,387,229,140,450,636
203,NJIT,28,7,21,.250,-14.65,-4.46,3,13,5,8,2,13,1902,2101,1120,663,1681,.394,201,666,.302,375,529,.709,321,972,294,201,92,311,535
204,Norfolk State,35,24,11,.686,-5.76,-7.76,11,3,15,0,6,8,2608,2364,1405,908,1978,.459,223,656,.340,569,788,.722,384,1205,436,308,108,425,650
205,North Alabama,32,15,17,.469,-7.17,-5.00,8,8,10,4,5,13,2447,2435,1306,857,1931,.444,246,679,.362,487,634,.768,317,1132,359,171,101,324,589
206,North Carolina,37,29,8,.784,21.36,9.90,17,3,14,1,8,2,3032,2608,1485,1046,2323,.450,301,839,.359,639,842,.759,452,1520,536,214,151,373,611
207,North Carolina A&T,32,7,25,.219,-16.31,-3.94,5,13,4,7,2,14,2098,2494,1280,726,1873,.388,192,669,.287,454,637,.713,300,1020,326,180,104,300,488
208,North Carolina Central,31,18,13,.581,-7.88,-8.84,9,5,11,2,6,9,2375,2139,1250,823,1812,.454,233,681,.342,496,714,.695,349,1097,398,237,83,372,552
209,North Dakota,32,18,14,.563,-6.24,-6.10,10,6,9,5,7,8,2408,2300,1285,858,1934,.444,264,809,.326,428,600,.713,366,1171,371,202,96,324,485
210,North Dakota State,32,15,17,.469,-7.57,-3.15,8,8,10,4,5,11,2388,2366,1315,873,1834,.476,252,667,.378,390,543,.718,271,1097,370,139,43,355,468
211,North Florida,32,16,16,.500,-6.95,-4.84,9,7,11,5,5,11,2496,2427,1295,849,1917,.443,383,1063,.360,415,542,.766,284,1076,398,179,116,362,517
212,North Texas,34,19,15,.559,8.41,4.28,10,8,11,4,6,6,2353,2169,1370,826,1907,.433,284,753,.377,417,566,.737,390,1179,378,241,101,378,571
213,Northeastern,32,12,20,.375,-6.09,-3.15,7,11,7,5,4,13,2221,2315,1280,810,1780,.455,204,642,.318,397,531,.748,326,1062,435,200,107,398,485
214,Northern Arizona,33,14,19,.424,-12.17,-4.17,7,11,7,5,6,12,2265,2529,1330,825,1883,.438,207,663,.312,408,586,.696,274,1034,444,187,102,416,605
215,Northern Colorado,33,19,14,.576,-4.44,-5.25,12,6,11,3,7,8,2617,2542,1360,969,1997,.485,254,730,.348,425,583,.729,270,1157,482,207,79,368,547
216,Northern Illinois,31,11,20,.355,-9.16,-1.37,5,13,5,9,5,11,2269,2399,1255,800,1802,.444,227,696,.326,442,658,.672,320,1111,317,164,153,394,539
217,Northern Iowa,33,19,14,.576,3.83,2.86,12,8,11,3,6,8,2417,2346,1330,843,1849,.456,238,690,.345,493,697,.707,265,1117,414,206,85,340,547
218,Northern Kentucky,33,18,15,.545,-3.66,-3.73,12,8,12,3,6,11,2470,2416,1340,882,1935,.456,209,656,.319,497,691,.719,347,1141,456,284,86,407,543
219,Northwestern,34,22,12,.647,12.77,8.50,12,8,15,2,4,7,2493,2348,1385,892,1960,.455,278,713,.390,431,573,.752,290,1068,530,239,106,300,598
220,Northwestern State,32,9,23,.281,-14.42,-6.32,7,11,6,7,3,13,2257,2429,1300,808,1872,.432,204,643,.317,437,663,.659,365,1107,368,223,105,425,598
221,Notre Dame,33,13,20,.394,4.94,8.06,7,13,9,8,2,10,2113,2216,1335,742,1824,.407,251,790,.318,378,508,.744,324,1185,335,189,80,413,497
222,Oakland,36,24,12,.667,2.02,-1.24,15,5,10,3,9,7,2751,2634,1465,966,2166,.446,318,895,.355,501,667,.751,383,1292,522,237,100,396,544
223,Ohio,33,20,13,.606,0.48,-4.58,13,5,12,3,5,7,2551,2309,1335,901,1987,.453,294,827,.356,455,623,.730,333,1153,464,235,118,321,562
224,Ohio State,36,22,14,.611,13.64,8.37,9,11,15,5,2,8,2718,2528,1456,957,2126,.450,254,736,.345,550,717,.767,394,1335,507,201,166,381,611
225,Oklahoma,32,20,12,.625,14.66,8.07,8,10,14,4,3,6,2412,2201,1290,835,1797,.465,239,692,.345,503,677,.743,310,1126,427,189,104,399,515
226,Oklahoma State,32,12,20,.375,6.25,7.97,4,14,10,8,1,9,2272,2327,1295,793,1799,.441,260,778,.334,426,611,.697,294,1078,428,200,92,413,511
227,Old Dominion,32,7,25,.219,-8.35,-1.58,3,15,5,10,1,12,2268,2464,1290,841,2001,.420,221,694,.318,365,551,.662,320,1134,330,251,123,349,581
228,Omaha,33,15,18,.455,-7.38,-5.07,7,9,11,3,2,13,2441,2404,1330,845,1873,.451,206,631,.326,545,734,.743,282,1111,336,200,73,326,552
229,Oral Roberts,31,12,19,.387,-7.43,-2.60,5,11,9,5,2,13,2275,2334,1250,812,1846,.440,285,790,.361,366,493,.742,235,1022,341,175,106,300,534
230,Oregon,36,24,12,.667,12.22,8.91,12,8,13,3,6,5,2721,2602,1453,982,2145,.458,263,778,.338,494,687,.719,357,1238,497,258,131,366,591
231,Oregon State,32,13,19,.406,3.28,8.38,5,15,12,6,1,9,2204,2326,1310,772,1745,.442,196,597,.328,464,630,.737,275,1041,355,192,119,395,593
232,Pacific,32,6,26,.188,-17.42,-0.15,0,16,5,12,1,13,2071,2553,1290,725,1762,.411,203,643,.316,418,650,.643,209,875,422,195,64,377,551
233,Penn State,33,16,17,.485,9.22,7.52,9,11,13,4,2,8,2478,2422,1330,854,1951,.438,255,764,.334,515,689,.747,316,1065,417,275,112,366,603
234,Pennsylvania,29,11,18,.379,-3.33,0.26,3,11,9,6,2,10,2159,2157,1180,781,1721,.454,275,750,.367,322,468,.688,303,1042,428,173,67,323,431
235,Pepperdine,33,13,20,.394,-2.14,0.70,5,11,9,8,3,8,2403,2443,1320,868,1924,.451,225,624,.361,442,628,.704,334,1115,438,169,90,370,537
236,Pittsburgh,33,22,11,.667,14.89,6.92,12,8,13,5,7,4,2495,2232,1320,873,1999,.437,317,887,.357,432,610,.708,376,1223,452,208,147,297,510
237,Portland,33,12,21,.364,-8.20,1.54,5,11,9,6,2,11,2360,2622,1325,826,1891,.437,292,842,.347,416,581,.716,276,1112,446,136,72,394,490
238,Portland State,32,17,15,.531,-7.15,-4.94,8,10,11,2,5,11,2302,2299,1289,809,1949,.415,237,730,.325,447,652,.686,375,1181,379,226,107,361,579
239,Prairie View,31,10,21,.323,-15.41,-6.92,5,13,5,6,4,15,2176,2368,1240,770,1831,.421,149,489,.305,487,675,.721,303,952,373,283,87,396,626
240,Presbyterian,33,14,19,.424,-8.13,-5.57,6,10,8,7,5,9,2469,2413,1330,897,1901,.472,210,629,.334,465,701,.663,312,1099,426,232,106,377,612
241,Princeton,29,24,5,.828,6.55,-1.60,12,2,12,1,11,3,2235,1932,1160,777,1695,.458,304,854,.356,377,468,.806,244,966,422,173,55,237,392
242,Providence,35,21,14,.600,12.56,8.93,10,10,14,5,4,7,2534,2407,1415,891,2011,.443,290,891,.325,462,640,.722,321,1257,477,225,161,424,552
243,Purdue,39,34,5,.872,24.93,11.60,17,3,16,0,7,3,3211,2691,1575,1109,2272,.488,318,788,.404,675,938,.720,476,1577,720,212,142,442,536
244,Purdue Fort Wayne,36,23,13,.639,-0.74,-6.09,11,9,11,5,10,8,2886,2577,1450,1043,2231,.468,340,942,.361,460,654,.703,302,1173,490,332,111,375,612
245,Queens (NC),33,14,19,.424,-8.75,-3.49,7,9,11,3,2,16,2643,2693,1320,928,2095,.443,294,864,.340,493,694,.710,372,1220,435,230,91,377,573
246,Quinnipiac,34,24,10,.706,-3.08,-7.32,15,5,13,3,10,5,2630,2422,1365,938,2089,.449,254,723,.351,500,645,.775,369,1256,479,260,125,423,552
247,Radford,33,16,17,.485,-5.66,-3.47,5,11,8,5,4,12,2377,2361,1335,871,1907,.457,238,655,.363,397,537,.739,339,1143,366,183,116,357,561
248,Rhode Island,32,12,20,.375,-2.26,2.87,6,12,9,8,3,8,2322,2443,1280,826,1800,.459,209,599,.349,461,713,.647,332,1178,408,151,99,403,541
249,Rice,32,11,21,.344,-3.22,1.97,5,13,6,10,5,7,2304,2421,1295,833,1880,.443,251,744,.337,387,557,.695,330,1134,461,178,117,372,463
250,Richmond,33,23,10,.697,7.67,2.09,15,3,15,1,7,6,2372,2188,1325,874,1889,.463,242,668,.362,382,522,.732,188,1081,436,220,97,285,468
251,Rider,32,15,17,.469,-5.73,-4.28,12,8,9,4,6,12,2309,2308,1295,836,1921,.435,182,540,.337,455,608,.748,362,1202,427,210,124,398,560
252,Robert Morris,32,10,22,.313,-9.57,-4.31,6,14,7,9,3,13,2326,2425,1300,833,1927,.432,273,812,.336,387,540,.717,391,1159,431,157,92,443,564
253,Rutgers,32,15,17,.469,7.41,8.57,7,13,12,5,3,9,2092,2129,1285,750,1927,.389,175,610,.287,417,634,.658,392,1188,377,247,167,365,541
254,Sacramento State,34,10,24,.294,-10.87,-3.71,4,14,6,8,2,13,2282,2394,1360,798,1855,.430,258,780,.331,428,598,.716,399,1209,444,178,93,495,577
255,Sacred Heart,32,16,16,.500,-9.91,-9.45,10,6,11,5,4,11,2372,2313,1280,864,1898,.455,237,650,.365,407,586,.695,300,1079,440,279,161,373,540
256,Saint Francis (PA),30,8,22,.267,-18.60,-8.14,3,13,6,8,2,14,1955,2181,1205,713,1682,.424,193,576,.335,336,551,.610,357,1038,367,178,107,412,532
257,Saint Joseph's,35,21,14,.600,6.59,1.67,9,9,14,3,3,10,2641,2469,1410,928,2084,.445,351,996,.352,434,598,.726,353,1253,513,247,133,401,534
258,Saint Louis,33,13,20,.394,-1.57,4.15,5,13,8,8,3,9,2473,2620,1320,845,1873,.451,259,705,.367,524,699,.750,287,1107,426,200,101,388,596
259,Saint Mary's (CA),34,26,8,.765,16.31,3.46,15,1,14,4,9,0,2516,2013,1370,936,2007,.466,258,733,.352,386,571,.676,448,1345,550,223,130,347,556
260,Saint Peter's,33,19,14,.576,-4.58,-5.33,12,8,8,5,8,8,2140,2113,1325,720,1830,.393,192,590,.325,508,713,.712,411,1161,350,235,137,414,640
261,Sam Houston,33,21,12,.636,-0.37,-1.72,13,3,12,2,7,9,2381,2282,1330,828,1948,.425,245,697,.352,480,663,.724,393,1255,425,226,75,435,596
262,Samford,35,29,6,.829,6.32,-3.23,15,3,18,0,8,5,3012,2607,1400,1054,2152,.490,351,889,.395,553,765,.723,371,1252,619,347,131,455,667
263,San Diego,33,18,15,.545,-5.31,0.33,7,9,12,6,4,7,2392,2550,1320,849,1978,.429,233,677,.344,461,633,.728,331,1128,432,239,126,437,628
264,San Diego State,37,26,11,.703,14.68,8.37,11,7,14,1,6,8,2742,2467,1505,954,2167,.440,259,822,.315,575,784,.733,432,1398,481,275,149,413,647
265,San Francisco,34,23,11,.676,9.68,0.23,11,5,14,2,6,6,2643,2262,1370,995,2044,.487,293,825,.355,360,477,.755,320,1159,554,279,117,392,622
266,San Jose State,32,9,23,.281,-3.82,3.28,2,16,6,9,1,12,2228,2403,1290,832,1856,.448,267,778,.343,297,423,.702,252,986,433,165,106,336,547
267,Santa Clara,33,20,13,.606,5.39,1.73,10,6,11,4,5,6,2538,2384,1325,912,1984,.460,271,766,.354,443,620,.715,397,1296,497,158,89,422,584
268,Seattle,37,23,14,.622,4.03,-1.64,11,9,14,4,4,9,2730,2471,1510,956,2143,.446,281,811,.346,537,730,.736,373,1369,481,215,106,470,683
269,Seton Hall,37,25,12,.676,12.67,8.80,13,7,17,3,5,7,2730,2587,1500,987,2184,.452,229,681,.336,527,674,.782,445,1379,481,280,179,466,562
270,Siena,32,4,28,.125,-19.20,-5.20,3,17,2,12,2,13,1934,2382,1280,702,1758,.399,169,603,.280,361,541,.667,375,1132,342,164,130,505,491
271,South Alabama,32,16,16,.500,-5.92,-3.37,8,10,11,6,5,9,2367,2421,1300,835,1886,.443,239,692,.345,458,611,.750,254,1057,341,216,88,362,532
272,South Carolina,34,26,8,.765,10.98,6.48,13,5,14,3,8,3,2450,2297,1370,865,1970,.439,274,809,.339,446,627,.711,387,1210,524,162,108,344,550
273,South Carolina State,32,14,18,.438,-11.85,-6.18,9,5,9,4,5,13,2245,2390,1290,784,1914,.410,200,620,.323,477,692,.689,477,1203,435,267,111,487,666
274,South Carolina Upstate,30,10,20,.333,-9.36,-3.02,5,11,6,7,4,12,2130,2188,1215,780,1753,.445,230,691,.333,340,530,.642,262,950,375,217,96,346,589
275,South Dakota,32,12,20,.375,-12.55,-5.41,5,11,9,6,2,12,2434,2535,1300,875,1916,.457,251,669,.375,433,583,.743,334,1198,391,115,56,411,511
276,South Dakota State,35,22,13,.629,0.52,-2.70,12,4,11,3,6,5,2675,2490,1410,977,2029,.482,300,823,.365,421,593,.710,289,1240,450,213,112,395,501
277,South Florida,33,25,8,.758,7.37,0.97,16,2,15,3,8,4,2499,2288,1320,837,1900,.441,295,804,.367,530,719,.737,328,1189,491,229,112,356,568
278,Southeast Missouri State,31,9,22,.290,-18.25,-6.55,4,14,8,7,1,14,2078,2278,1245,764,1848,.413,192,631,.304,358,512,.699,279,984,383,178,78,371,606
279,Southeastern Louisiana,32,15,17,.469,-11.31,-6.14,10,8,9,4,6,10,2209,2271,1290,764,1769,.432,235,677,.347,446,613,.728,343,1120,463,222,73,442,523
280,Southern,32,18,14,.563,-8.74,-6.09,12,6,11,2,7,11,2275,2198,1290,807,1829,.441,221,684,.323,440,653,.674,312,1020,440,291,105,456,631
281,Southern California,33,15,18,.455,9.36,9.54,8,12,9,6,3,9,2446,2452,1340,872,1932,.451,252,709,.355,450,649,.693,331,1123,515,247,172,418,560
282,Southern Illinois,32,19,13,.594,4.10,0.52,11,9,13,5,5,6,2325,2183,1300,791,1746,.453,264,761,.347,479,629,.762,270,1055,456,175,98,356,579
283,SIU Edwardsville,33,17,16,.515,-9.08,-7.54,9,9,12,2,2,13,2360,2314,1320,832,1965,.423,239,720,.332,457,631,.724,375,1175,374,226,137,352,550
284,Southern Indiana,32,8,24,.250,-13.63,-5.59,5,13,5,10,3,13,2195,2335,1285,737,1811,.407,215,664,.324,506,679,.745,319,1139,362,204,94,423,672
285,Southern Methodist,33,20,13,.606,10.22,2.56,11,7,14,3,5,8,2535,2271,1325,934,2089,.447,251,735,.341,416,606,.686,480,1314,517,277,159,372,564
286,Southern Mississippi,32,16,16,.500,-5.93,-2.93,9,9,11,3,5,9,2236,2273,1280,775,1826,.424,201,614,.327,485,693,.700,343,1177,376,229,154,411,550
287,Southern Utah,31,10,21,.323,-5.72,-1.17,5,15,6,8,3,13,2326,2406,1245,820,1861,.441,195,649,.300,491,674,.728,322,1049,375,202,92,373,548
288,St. Bonaventure,33,20,13,.606,6.77,1.95,9,9,11,4,5,6,2424,2265,1335,853,1872,.456,251,687,.365,467,603,.774,320,1087,412,218,128,358,553
289,St. John's (NY),33,20,13,.606,16.49,9.58,11,9,13,5,5,6,2602,2374,1320,970,2139,.453,237,696,.341,425,584,.728,476,1279,518,232,180,360,593
290,St. Thomas,33,20,13,.606,-0.92,-5.72,9,7,12,2,6,9,2402,2140,1325,859,1824,.471,299,829,.361,385,528,.729,255,1027,451,204,71,303,520
291,Stanford,32,14,18,.438,7.35,7.48,8,12,10,6,3,8,2443,2447,1300,882,1886,.468,286,774,.370,393,540,.728,248,1097,515,176,99,410,490
292,Stephen F. Austin,33,18,15,.545,-0.95,-1.76,10,10,10,5,5,8,2463,2353,1345,849,1890,.449,203,607,.334,562,796,.706,393,1184,422,295,93,530,697
293,Stetson,35,22,13,.629,-5.09,-3.24,11,5,14,2,6,10,2687,2566,1405,950,2053,.463,313,857,.365,474,619,.766,339,1216,465,187,108,369,516
294,Stonehill,31,4,27,.129,-20.10,-6.10,2,14,4,8,0,19,1967,2360,1245,714,1788,.399,253,834,.303,286,415,.689,257,1020,366,198,77,421,477
295,Stony Brook,35,20,15,.571,-2.59,-2.62,10,8,13,3,4,11,2573,2531,1430,921,2101,.438,277,775,.357,454,614,.739,336,1280,424,211,113,359,532
296,Syracuse,32,20,12,.625,8.53,9.40,11,9,14,2,4,7,2442,2420,1280,883,1915,.461,219,651,.336,457,634,.721,277,1064,442,290,129,364,493
297,Tarleton State,35,25,10,.714,1.40,-0.97,16,4,13,4,10,5,2593,2402,1405,951,2091,.455,203,623,.326,488,645,.757,379,1192,482,308,124,395,605
298,TCU,34,21,13,.618,14.62,7.32,9,9,12,4,6,5,2687,2439,1380,964,2089,.461,224,632,.354,535,732,.731,433,1263,575,305,128,438,593
299,Temple,36,16,20,.444,-1.26,1.68,5,13,5,9,5,7,2551,2624,1470,876,2214,.396,296,931,.318,503,709,.709,406,1304,402,265,105,357,610
300,Tennessee,36,27,9,.750,21.81,10.42,14,4,14,2,8,3,2836,2426,1440,979,2223,.440,315,915,.344,563,750,.751,419,1393,600,280,166,367,629
301,Tennessee State,33,18,15,.545,-9.64,-7.64,10,8,11,3,5,10,2400,2343,1325,832,1881,.442,217,667,.325,519,687,.755,327,1144,396,220,116,436,644
302,Tennessee Tech,31,10,21,.323,-15.04,-6.29,5,13,7,8,3,13,2089,2289,1250,758,1692,.448,202,608,.332,371,522,.711,191,957,379,156,90,369,421
303,Tennessee-Martin,32,21,11,.656,-5.57,-7.25,14,4,12,2,9,7,2609,2455,1290,908,2045,.444,279,779,.358,514,667,.771,325,1319,415,199,89,366,455
304,Texas,34,21,13,.618,15.91,9.41,9,9,14,4,4,6,2563,2342,1365,932,1988,.469,245,691,.355,454,600,.757,339,1179,512,244,149,393,587
305,Texas A&M,36,21,15,.583,13.35,9.32,9,9,10,5,6,6,2736,2591,1450,926,2304,.402,255,869,.293,629,890,.707,627,1541,412,250,108,346,611
306,Texas A&M-Corpus Christi,33,21,12,.636,-4.45,-7.24,14,4,13,2,8,7,2480,2200,1335,889,2046,.435,183,616,.297,519,738,.703,438,1328,485,291,96,400,689
307,Texas Southern,33,16,17,.485,-9.09,-7.03,12,6,7,4,6,11,2316,2346,1325,821,1980,.415,242,766,.316,432,597,.724,365,1165,384,228,124,415,610
308,Texas State,35,17,18,.486,-3.71,-0.74,7,11,9,4,5,11,2445,2452,1410,883,1988,.444,159,488,.326,520,747,.696,388,1243,413,258,118,470,617
309,Texas Tech,34,23,11,.676,14.96,9.28,11,7,15,2,4,6,2561,2368,1365,877,1943,.451,289,804,.359,518,664,.780,338,1188,501,204,86,378,508
310,Texas-Rio Grande Valley,31,6,25,.194,-13.39,-0.90,2,18,5,9,1,14,2181,2473,1250,754,1801,.419,160,547,.293,513,728,.705,290,1037,400,251,92,434,563
311,The Citadel,32,11,21,.344,-6.53,-2.91,3,15,7,7,2,13,2260,2289,1285,819,1782,.460,197,600,.328,425,602,.706,300,1094,359,179,84,385,447
312,Toledo,32,20,12,.625,1.78,-2.09,14,4,12,3,8,5,2560,2436,1290,920,1926,.478,207,550,.376,513,680,.754,318,1081,430,233,64,342,498
313,Towson,34,20,14,.588,0.19,-2.27,11,7,12,2,6,6,2296,2164,1375,818,1934,.423,216,659,.328,444,672,.661,491,1337,381,210,142,413,565
314,Troy,32,20,12,.625,1.24,-3.17,13,5,15,2,5,9,2546,2261,1300,859,1950,.441,276,787,.351,552,753,.733,427,1230,438,331,105,441,611
315,Tulane,31,14,17,.452,3.65,2.68,5,13,11,6,2,8,2540,2481,1260,856,1798,.476,233,653,.357,595,813,.732,217,1030,440,243,136,347,530
316,Tulsa,31,16,15,.516,-1.20,-1.00,7,11,14,4,2,9,2325,2290,1255,779,1775,.439,239,731,.327,528,717,.736,270,1091,392,243,105,403,543
317,UAB,35,23,12,.657,5.14,3.73,12,6,12,5,7,5,2711,2627,1420,937,2085,.449,215,658,.327,622,834,.746,451,1329,473,236,159,406,555
